Tense,Code,คำอธิบายสั้น ๆ
present simple,HABIT,ใช้เมื่อพูดถึงกิจวัตรหรือพฤติกรรมที่ทำเป็นประจำ
present simple,FACT,ใช้กับข้อเท็จจริงที่เป็นสัจธรรมหรือเป็นความรู้ทางวิทยาศาสตร์
present simple,TABLE,ใช้เมื่อกล่าวถึงตารางเวลา เช่น ตารางเดินรถ หรือแผนที่กำหนดไว้
present simple,SAYING,ใช้กับสุภาษิต คำพังเพย หรือคำกล่าวทั่วไป
present simple,HEADLINE,ใช้ในพาดหัวข่าวหรือข้อความที่เน้นย่อประโยค สังเกตว่าแม้จะพูดถึงเหตุการณ์ที่เกิดขึ้นแล้ว (เช่นเหตุแผ่นดินไหวหรือการเยี่ยมพื้นที่น้ำท่วม) แต่พาดหัวข่าวมักใช้ Present Simple เพื่อสร้างความรู้สึกสดใหม่และดึงดูดความสนใจผู้อ่าน
present simple,PLAN,ใช้เมื่อพูดถึง “แผนการ” หรือ “ความตั้งใจ” ในอนาคต แม้ว่าโครงสร้างจะใช้ Present Simple แต่ความหมายมักชี้ไปยังสิ่งที่ผู้พูดหรือผู้ถูกถาม “ตั้งใจจะทำ” ในอนาคต
present continuous,HAPPENING,สิ่งที่ทำอยู่ขณะพูด
present continuous,NOWADAYS,สิ่งที่ทำอยู่ในช่วงนี้ เช่น โปรเจค หรือ สิ่งที่ใช้เวลาทำนาน เป็นหลักวัน
present continuous,SUREFUT,"เหตุการณ์ที่จะเกิดขึ้นในอนาคตโดยมี ""การวางแผนไว้แล้ว"" โดยมักจะเจอ ""v.to be + going to"""
present continuous,PROGRESS,เหตุการณ์ที่กำลังมีการเปลี่ยนแปลง พัฒนาขึ้น หรือก้าวหน้าขึ้น
present perfect,JUSTFIN,ใช้เมื่อเหตุการณ์เพิ่งจะสิ้นสุดลง
present perfect,RESULT,สิ่งที่เกิดขึ้นตั้งแต่อดีตและมีผลหรือคงสภาพจนถึงปัจจุบัน (การกระทำอาจจะจบไปแล้ว)
present perfect,EXP,ประสบการณ์ (เจอคำว่า “First / ... time”)
present perfect continuous,SINCEFOR,สิ่งที่ทำเรื่อยมาจนถึงปัจจุบัน โดยเน้น ระยะเวลา มักเจอ For since
past simple,NORFIN,การกระทำในอดีตทั่วไป โดยไม่มีบริบทหรือรายละเอียดเพิ่มเติม
past continuous,INTERRUPT,ใช้คู่กับ Past Simple เพื่อบอกว่าเหตุการณ์ใน Past simple เกิด “แทรก” อีกเหตุการณ์ที่กำลังทำในอดีต
past continuous,DOINGATSOMETIMEPAST,สิ่งที่กำลังทำอยู่ ณ เวลาหนึ่งในอดีต
past perfect,BEFOREPAST,ใช้เมื่อต้องการแสดงว่าเหตุการณ์หนึ่งเกิดขึ้นและเสร็จก่อนอีกเหตุการณ์ในอดีต (เช่น Past Simple หรือ ตัวบอกเวลาในอดีต) เช่นในประโยคนี้ “เธอทำการบ้านเสร็จก่อนที่จะทานข้าวเย็น”
past perfect continuous,DURATION,ใช้คู่กับ Past Simple หรือ ตัวบอกเวลาในอดีต เพื่อบอกสิ่งที่กำลังทำอยู่สักพักหนึ่งก่อนอีกสิ่งจะเกิดในอดีต (เน้นว่ากำลังทำอยู่ตอนนั้น)
future simple,50PERC,สิ่งที่คาดจะเกิด หรือมีแนวโน้มในอนาคต (50%)
future simple,PROMISE,การให้คำสัญญา หรือเสนออะไรให้ใคร (promise)
future simple,RIGHTNOW,สิ่งที่เพิ่งคิดว่าจะทำเดี๋ยวนั้น (ไม่ได้วางแผนว่าจะทำมาก่อน)
future continuous,LONGFUTURE,สิ่งที่คาดว่าน่าจะเกิดขึ้น คงจะทำอยู่ หรือวางแผนว่าจะทำ ณ เวลาหนึ่งในอนาคต
future perfect,PREDICT,"สิ่งที่คาดว่าคงจบ เสร็จสิ้น หรือครบเวลาแล้ว ณ เวลาหนึ่งในอนาคต	"
future perfect continuous,WILLCONTINUEINFUTURE,สิ่งที่คาดว่าคงจบ เสร็จสิ้น หรือครบเวลาแล้ว ณ เวลาหนึ่งในอนาคต และจะคงสภาพหรือทำแบบนี้ต่อไปอีก
